,image,xmin,ymin,xmax,ymax,label,confidence
0,2021-04-20_1651.jpg,148,370,330,501,0,0.397994131
1,2021-04-20_1706.jpg,222,384,386,474,0,0.978049219
2,2021-04-20_1718.jpg,626,404,820,544,0,0.98370856
3,2021-04-20_1914.jpg,160,387,366,511,0,0.641029716
4,2021-04-20_1925.jpg,218,388,388,469,0,0.986483514
5,2021-04-20_1942.jpg,161,406,375,531,0,0.983471572
6,2021-04-20_1944.jpg,157,343,338,532,1,0.952217937
7,2021-04-20_1950.jpg,573,376,699,616,2,0.982635558
8,2021-04-20_1951.jpg,551,392,703,613,2,0.868650138
9,2021-04-20_2004.jpg,161,407,381,531,0,0.980407059
10,2021-04-20_2005.jpg,218,366,344,492,0,0.996984482
11,2021-04-21_0851.jpg,376,385,460,616,2,0.982825696
12,2021-04-21_0852.jpg,379,407,471,612,2,0.997804821
13,2021-04-21_0900.jpg,130,375,342,526,1,0.991730511
14,2021-04-21_0909.jpg,285,386,373,444,0,0.803196788
15,2021-04-21_0919.jpg,193,384,340,496,1,0.986341417
16,2021-04-21_0949.jpg,173,363,314,540,0,0.645956159
17,2021-04-21_0952.jpg,475,395,690,616,2,0.997794509
18,2021-04-21_1024.jpg,429,327,513,595,2,0.911103308
19,2021-04-21_1024.jpg,428,335,523,604,0,0.311593086
20,2021-04-21_1025.jpg,430,359,513,607,2,0.983130991
21,2021-04-21_1029.jpg,369,81,496,381,0,0.547719657
22,2021-04-21_1105.jpg,72,382,289,494,0,0.529876947
23,2021-04-21_1133.jpg,119,388,294,489,0,0.876072705
24,2021-04-21_1205.jpg,128,365,242,522,0,0.986951768
25,2021-04-21_1207.jpg,116,409,319,575,1,0.289855897
26,2021-04-21_1207.jpg,116,409,319,575,0,0.926848173
27,2021-04-21_1212.jpg,105,373,305,500,0,0.943454564
28,2021-04-21_1227.jpg,122,392,306,496,2,0.878073335
29,2021-04-21_1227.jpg,558,388,690,483,0,0.997647226
30,2021-04-21_1238.jpg,584,370,704,509,0,0.991305888
31,2021-04-21_1338.jpg,110,378,276,532,2,0.81595397
32,2021-04-21_1339.jpg,229,363,310,488,2,0.988229454
33,2021-04-21_1414.jpg,154,396,339,478,2,0.938138723
34,2021-04-21_1415.jpg,200,372,309,490,2,0.994566619
35,2021-04-21_1426.jpg,110,404,321,581,0,0.997888803
36,2021-04-21_1447.jpg,276,384,399,457,0,0.957102835
37,2021-04-21_1507.jpg,93,401,319,571,0,0.998723865
38,2021-04-21_1522.jpg,312,409,411,611,2,0.995700777
39,2021-04-21_1523.jpg,119,373,278,500,0,0.783836007
40,2021-04-21_1602.jpg,95,388,312,549,0,0.975712597
41,2021-04-21_1616.jpg,140,387,319,474,0,0.974511564
42,2021-04-21_1620.jpg,494,408,745,577,2,0.998732269
43,2021-04-21_1629.jpg,187,363,300,495,0,0.998349667
44,2021-04-21_1631.jpg,211,326,341,448,1,0.948460937
45,2021-04-21_1641.jpg,519,365,669,616,2,0.927676082
46,2021-04-21_1642.jpg,514,368,574,463,0,0.976492703
47,2021-04-21_1706.jpg,108,403,318,566,0,0.998425484
48,2021-04-21_1720.jpg,684,264,798,371,1,0.985222995
49,2021-04-21_1723.jpg,198,396,330,477,0,0.996154606
50,2021-04-21_1738.jpg,288,381,394,616,2,0.993881941
51,2021-04-21_1815.jpg,586,360,731,486,0,0.405721456
52,2021-04-21_1825.jpg,558,389,812,555,0,0.997374773
53,2021-04-21_1826.jpg,116,377,288,518,2,0.404453456
54,2021-04-21_1826.jpg,116,377,288,518,0,0.405323178
55,2021-04-21_1852.jpg,628,373,746,477,0,0.990294814
56,2021-04-21_1857.jpg,509,387,646,468,0,0.997521102
57,2021-04-21_1859.jpg,5,314,176,458,1,0.573221147
58,2021-04-21_1925.jpg,128,409,329,534,0,0.984201729
59,2021-04-21_1937.jpg,492,408,661,605,2,0.826818287
60,2021-04-21_1947.jpg,131,394,302,491,2,0.924809635
61,2021-04-21_1951.jpg,259,378,337,475,1,0.968874335
62,2021-04-21_2003.jpg,496,421,678,588,2,0.994059682
63,2021-04-21_2004.jpg,577,390,798,524,0,0.97241348
64,2021-04-21_2005.jpg,634,386,770,536,0,0.565359294
65,2021-04-21_2008.jpg,85,395,317,543,0,0.996175766
66,2021-04-21_2009.jpg,87,401,322,538,0,0.991628587
67,2021-04-21_2010.jpg,92,391,322,562,0,0.996374249
68,2021-04-21_2012.jpg,227,364,311,473,1,0.509968102
69,2021-04-21_2012.jpg,218,364,317,474,0,0.802683353
70,2021-04-21_2018.jpg,565,346,788,564,1,0.980675519
71,2021-04-21_2019.jpg,564,370,784,549,1,0.98675549
72,2021-04-21_2022.jpg,211,368,345,616,0,0.949287057
73,2021-04-21_2023.jpg,576,345,786,554,1,0.814339221
74,2021-04-21_2026.jpg,560,401,778,546,0,0.91173631
75,2021-04-21_2027.jpg,549,394,758,561,1,0.887868464
76,2021-04-21_2027.jpg,307,347,424,616,0,0.964176714
77,2021-04-21_2028.jpg,559,392,768,561,1,0.91028446
78,2021-04-21_2028.jpg,106,371,241,543,0,0.368183106
79,2021-04-21_2029.jpg,102,401,295,541,1,0.627091229
80,2021-04-21_2029.jpg,102,401,295,541,0,0.396919638
81,2021-04-22_0843.jpg,514,386,668,473,0,0.980668247
82,2021-04-22_0852.jpg,202,358,324,459,1,0.691583753
83,2021-04-22_0854.jpg,192,363,289,488,2,0.989177048
84,2021-04-22_0854.jpg,576,389,795,528,0,0.99134326
85,2021-04-22_0855.jpg,182,391,333,483,2,0.987574995
86,2021-04-22_0905.jpg,493,404,702,595,2,0.996257186
87,2021-04-22_0913.jpg,325,401,417,608,2,0.990341425
88,2021-04-22_0937.jpg,145,312,243,397,1,0.852769017
89,2021-04-22_0947.jpg,581,375,786,592,0,0.982689977
90,2021-04-22_0953.jpg,494,375,721,614,2,0.996037185
91,2021-04-22_0957.jpg,589,370,753,520,2,0.760623872
92,2021-04-22_1006.jpg,496,403,631,609,0,0.973593354
93,2021-04-22_1023.jpg,127,417,415,560,2,0.997709811
